name, original price, discount, final price, base clock, boost clock, VRAM, bandwidth, link
EVGA GeForce RTX 2080 Ti K|NGP|N GAMING | 11G-P4-2589-KR | 11GB GDDR6 | iCX2 Technology | HYBRID Cooler | OLED Display | Metal Backplate,$1799.99,$0.0,$1799.99,14000MHz Memory Clock,1770MHz Boost Clock,11264MB GDDR6 Memory,616GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=11G-P4-2589-KR
EVGA GeForce RTX 2070 SUPER XC HYBRID GAMING | 08G-P4-3178-KR | 8GB GDDR6 | WATERCOOLED,$569.99,$0.0,$569.99,14000MHz Memory Clock,1800MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3178-KR
EVGA GeForce RTX 2070 SUPER XC HYBRID GAMING | 08G-P4-3178-KP | 8GB GDDR6 | WATERCOOLED + PowerLink,$599.99,$0.0,$599.99,14000MHz Memory Clock,1800MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3178-KP
EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING | 08G-P4-3188-KR | 8GB GDDR6 | RGB LED Logo | Metal Backplate,$749.99,$0.0,$749.99,15500MHz Memory Clock,1830MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3188-KR
EVGA GeForce RTX 2080 SUPER XC HYBRID GAMING | 08G-P4-3188-KP | 8GB GDDR6 | RGB LED Logo | Metal Backplate + PowerLink,$799.99,$0.0,$799.99,15500MHz Memory Clock,1830MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3188-KP
EVGA GeForce RTX 2080 SUPER FTW3 HYBRID GAMING | 08G-P4-3288-KR | 8GB GDDR6 | RGB LED Logo | iCX2 Technology | Metal Backplate,$779.99,$0.0,$779.99,15500MHz Memory Clock,1845MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3288-KR
EVGA GeForce RTX 2080 SUPER FTW3 HYBRID GAMING | 08G-P4-3288-KP | 8GB GDDR6 | RGB LED Logo | iCX2 Technology | Metal Backplate + PowerLink,$829.99,$0.0,$829.99,15500MHz Memory Clock,1845MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3288-KP
EVGA GeForce RTX 2080 XC HYBRID GAMING | 08G-P4-2184-KR | 8GB GDDR6 | HYBRID | RGB LED Logo | Metal Backplate,$799.99,$0.0,$799.99,14000MHz Memory Clock,1800MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-2184-KR
EVGA GeForce RTX 2080 FTW3 ULTRA HYBRID GAMING | 08G-P4-2284-KR | 8GB GDDR6 | RGB LED Logo | iCX2 Technology | Metal Backplate,$929.99,$130.0,$799.99,14000MHz Memory Clock,1845MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-2284-KR
EVGA GeForce RTX 2080 SUPER FTW3 HYDRO COPPER GAMING | 08G-P4-3289-KR | 8GB GDDR6 | RGB LED | iCX2 Technology | Metal Backplate,$849.99,$0.0,$849.99,15500MHz Memory Clock,1845MHz Boost Clock,8192MB GDDR6 Memory,496GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-3289-KR
EVGA GeForce RTX 2080 FTW3 ULTRA HYDRO COPPER GAMING | 08G-P4-2289-KR | 8GB GDDR6 | RGB LED | iCX2 Technology | Metal Backplate,$999.99,$0.0,$999.99,14000MHz Memory Clock,1860MHz Boost Clock,8192MB GDDR6 Memory,448GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=08G-P4-2289-KR
EVGA GeForce RTX 2080 Ti XC HYBRID GAMING | 11G-P4-2384-KR | 11GB GDDR6 | HYBRID | RGB LED Logo | Metal Backplate,$1349.99,$0.0,$1349.99,14000MHz Memory Clock,1635MHz Boost Clock,11264MB GDDR6 Memory,616GB/s Memory Bandwidth,https://www.evga.com/products/product.aspx?pn=11G-P4-2384-KR
